
dccn-l029.dccn.nl: 
                                                                                  Req'd    Req'd       Elap
Job ID                  Username    Queue    Jobname          SessID  NDS   TSK   Memory   Time    S   Time
10068961.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  20353   --       1   36gb  00:38:00 C       --    dccn-c021
10068962.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  20376   --       1   36gb  00:38:00 C       --    dccn-c021
10068963.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  20417   --       1   36gb  00:38:00 C       --    dccn-c021
10068964.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  20463   --       1   36gb  00:38:00 C       --    dccn-c021
10068965.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  20530   --       1   36gb  00:38:00 C       --    dccn-c021
10068966.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  20602   --       1   36gb  00:38:00 C       --    dccn-c021
10068967.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  20721   --       1   36gb  00:38:00 C       --    dccn-c021
10068968.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  20868   --       1   36gb  00:38:00 C       --    dccn-c021
10068969.dccn-l029.dcc  murfer      interact STDIN              9677   --       1   20gb  10:00:00 R  04:04:21   dccn-c016
10068970.dccn-l029.dcc  xugon       interact STDIN             23026     1      1   12gb  48:00:00 C       --    dccn-c012
10068971.dccn-l029.dcc  roboos      matlab   test_ft_plot_sli  47560   --       1    1gb  00:10:00 C       --    dccn-c019
10068972.dccn-l029.dcc  roboos      matlab   test_ft_plot_vol  47583   --       1    1gb  00:10:00 C       --    dccn-c019
10068973.dccn-l029.dcc  roboos      matlab   test_ft_plot_top  47626   --       1    1gb  00:10:00 C       --    dccn-c019
10068974.dccn-l029.dcc  roboos      matlab   test_ft_plot_hea  47701   --       1    1gb  00:10:00 C       --    dccn-c019
10068975.dccn-l029.dcc  roboos      matlab   test_ft_plot_vec  47762   --       1    1gb  00:10:00 C       --    dccn-c019
10068976.dccn-l029.dcc  roboos      matlab   test_ft_plot_mat  47855   --       1    1gb  00:10:00 C       --    dccn-c019
10068977.dccn-l029.dcc  roboos      matlab   test_ft_plot_tex  47905   --       1    1gb  00:10:00 C       --    dccn-c019
10068978.dccn-l029.dcc  roboos      matlab   test_ft_plot_lay  48066   --       1    1gb  00:10:00 C       --    dccn-c019
10068979.dccn-l029.dcc  roboos      matlab   test_ft_plot_lin  48248   --       1    1gb  00:10:00 C       --    dccn-c019
10068980.dccn-l029.dcc  roboos      matlab   test_ft_plot_box  48402   --       1    1gb  00:10:00 C       --    dccn-c019
10068981.dccn-l029.dcc  roboos      matlab   test_ft_plot_sen  48572   --       1    1gb  00:10:00 C       --    dccn-c019
10068982.dccn-l029.dcc  roboos      matlab   test_ft_plot_top  48726   --       1    1gb  00:10:00 C       --    dccn-c019
10068983.dccn-l029.dcc  roboos      matlab   test_ft_plot_ort  48868   --       1    1gb  00:10:00 C       --    dccn-c019
10068984.dccn-l029.dcc  roboos      matlab   test_ft_plot_dip  49134   --       1    1gb  00:10:00 C       --    dccn-c019
10068985.dccn-l029.dcc  roboos      matlab   test_ft_plot_mes  49265   --       1    1gb  00:15:00 C       --    dccn-c019
10068986.dccn-l029.dcc  roboos      matlab   test_bug1404      49397   --       1    1gb  00:10:00 C       --    dccn-c019
10068987.dccn-l029.dcc  roboos      matlab   test_bug1207      49573   --       1    1gb  00:10:00 C       --    dccn-c019
10068988.dccn-l029.dcc  roboos      matlab   test_ft_spike_ps  49700   --       1    1gb  00:10:00 C       --    dccn-c019
10068989.dccn-l029.dcc  roboos      matlab   test_ft_spikeden  49844   --       1    1gb  00:10:00 C       --    dccn-c019
10068990.dccn-l029.dcc  roboos      matlab   test_ft_spike_pl  49975   --       1    1gb  00:10:00 C       --    dccn-c019
10068991.dccn-l029.dcc  roboos      matlab   test_ft_spike_is  50086   --       1    2gb  00:10:00 C       --    dccn-c019
10068992.dccn-l029.dcc  roboos      matlab   test_ft_spike_jp  50205   --       1    2gb  00:10:00 C       --    dccn-c019
10068993.dccn-l029.dcc  roboos      matlab   test_ft_spike_ra  50349   --       1    1gb  00:10:00 C       --    dccn-c019
10068994.dccn-l029.dcc  roboos      matlab   test_ft_spiketri  50527   --       1    1gb  00:10:00 C       --    dccn-c019
10068995.dccn-l029.dcc  roboos      matlab   test_ft_spike_ma  50669   --       1    1gb  00:10:00 C       --    dccn-c019
10068996.dccn-l029.dcc  roboos      matlab   test_ft_spike_xc  50798   --       1    1gb  00:10:00 C       --    dccn-c019
10068997.dccn-l029.dcc  roboos      matlab   test_ft_spike_pl  50912   --       1    1gb  00:10:00 C       --    dccn-c019
10068998.dccn-l029.dcc  roboos      matlab   test_ft_spiketri  50997   --       1    1gb  00:10:00 C       --    dccn-c019
10068999.dccn-l029.dcc  roboos      matlab   test_bug1405      51084   --       1    2gb  00:10:00 C       --    dccn-c019
10069000.dccn-l029.dcc  roboos      matlab   test_bug1162      51233   --       1    2gb  00:10:00 C       --    dccn-c019
10069001.dccn-l029.dcc  roboos      matlab   test_bug1243      51301   --       1    2gb  00:10:00 C       --    dccn-c019
10069002.dccn-l029.dcc  roboos      matlab   test_tutorial_co  51382   --       1    2gb  00:10:00 C       --    dccn-c019
10069003.dccn-l029.dcc  roboos      matlab   test_ft_prepare_  51481   --       1    3gb  00:10:00 C       --    dccn-c019
10069004.dccn-l029.dcc  roboos      matlab   test_bug1481      51719   --       1    2gb  00:10:00 C       --    dccn-c019
10069005.dccn-l029.dcc  roboos      matlab   test_benchmark_f  51995   --       1    1gb  00:10:00 C       --    dccn-c019
10069006.dccn-l029.dcc  roboos      matlab   test_bug2193      52082   --       1    2gb  00:10:00 C       --    dccn-c019
10069007.dccn-l029.dcc  roboos      matlab   test_ft_datatype  52219   --       1    2gb  00:10:00 C       --    dccn-c019
10069008.dccn-l029.dcc  roboos      matlab   test_ft_sourcean  52303   --       1    4gb  04:30:00 C       --    dccn-c019
10069009.dccn-l029.dcc  roboos      matlab   test_bug1447      52456   --       1    2gb  00:10:00 C       --    dccn-c019
10069010.dccn-l029.dcc  roboos      matlab   test_headmodel_s  52820   --       1    2gb  00:10:00 C       --    dccn-c019
10069011.dccn-l029.dcc  roboos      matlab   test_ft_freqstat  52926   --       1    2gb  00:10:00 C       --    dccn-c019
10069012.dccn-l029.dcc  roboos      matlab   test_tutorial_be  53007   --       1    8gb  03:30:00 C       --    dccn-c019
10069013.dccn-l029.dcc  roboos      matlab   test_nanstat      53087   --       1    2gb  00:10:00 C       --    dccn-c019
10069014.dccn-l029.dcc  roboos      matlab   test_tutorial_cl  53159   --       1    2gb  00:10:00 C       --    dccn-c019
10069015.dccn-l029.dcc  roboos      matlab   test_bug905       53254   --       1    2gb  00:10:00 C       --    dccn-c019
10069016.dccn-l029.dcc  roboos      matlab   test_bug645       53473   --       1    2gb  00:10:00 C       --    dccn-c019
10069017.dccn-l029.dcc  roboos      matlab   test_bug483       53580   --       1    2gb  00:10:00 C       --    dccn-c019
10069018.dccn-l029.dcc  roboos      matlab   test_ft_preproce  53666   --       1    2gb  00:10:00 C       --    dccn-c019
10069019.dccn-l029.dcc  roboos      matlab   test_ft_prepare_  53786   --       1    2gb  00:10:00 C       --    dccn-c019
10069020.dccn-l029.dcc  roboos      matlab   test_bug1210      53965   --       1    2gb  00:10:00 C       --    dccn-c019
10069021.dccn-l029.dcc  roboos      matlab   test_randomseed   54185   --       1    2gb  00:10:00 C       --    dccn-c019
10069022.dccn-l029.dcc  roboos      matlab   test_bug1112      54309   --       1    2gb  00:10:00 C       --    dccn-c019
10069023.dccn-l029.dcc  roboos      matlab   test_headmodel_d  54422   --       1    2gb  00:10:00 C       --    dccn-c019
10069024.dccn-l029.dcc  roboos      matlab   test_bug1014      65041   --       1    2gb  00:10:00 C       --    dccn-c020
10069025.dccn-l029.dcc  roboos      matlab   test_ft_volumese  65064   --       1    2gb  00:10:00 C       --    dccn-c020
